Key,Value
AFG_PPPPC,2553.354
AFG_PPPGDP,91.07
AFG_PCPIE,167.008
AFG_PCPI,164.003
AFG_NGDP_FY,2081.098
AFG_NGDPPC,58348.01
AFG_LUR,
AFG_LP,35.667
AFG_GGX_NGDP,31.735
AFG_GGXWDN_NGDP,
AFG_GGX,660.433
AFG_BCA,-0.553
ALB_PPPPC,16633.834
ALB_PPPGDP,44.77
ALB_PCPIE,138.203
ALB_PCPI,137.324
ALB_NGDP_FY,2106.068
ALB_NGDPPC,782488.641
ALB_LUR,12.5
ALB_LP,2.691
ALB_GGX_NGDP,30.715
ALB_GGXWDN_NGDP,50.04
ALB_GGX,646.877
ALB_BCA,-1.513
DZA_PPPPC,17610.311
DZA_PPPGDP,757.768
DZA_PCPIE,213.485
DZA_PCPI,208.48
DZA_NGDP_FY,26497.922
DZA_NGDPPC,615804.249
DZA_LUR,12.65
DZA_LP,43.03
DZA_GGX_NGDP,35.103
DZA_GGXWDN_NGDP,15.315
DZA_GGX,9301.689
DZA_BCA,-16.259
ASM_PPPPC,0
ASM_PPPGDP,0
ASM_PCPIE,0
ASM_PCPI,0
ASM_NGDP_FY,0
ASM_NGDPPC,0
ASM_LUR,0
ASM_LP,0
ASM_GGX_NGDP,0
ASM_GGXWDN_NGDP,0
ASM_GGX,0
ASM_BCA,0
AND_PPPPC,0
AND_PPPGDP,0
AND_PCPIE,0
AND_PCPI,0
AND_NGDP_FY,0
AND_NGDPPC,0
AND_LUR,0
AND_LP,0
AND_GGX_NGDP,0
AND_GGXWDN_NGDP,0
AND_GGX,0
AND_BCA,0
AGO_PPPPC,9001.053
AGO_PPPGDP,262.065
AGO_PCPIE,215.892
AGO_PCPI,209.785
AGO_NGDP_FY,21463.929
AGO_NGDPPC,737213.659
AGO_LUR,
AGO_LP,29.115
AGO_GGX_NGDP,30.664
AGO_GGXWDN_NGDP,
AGO_GGX,6581.743
AGO_BCA,-4.34
AIA_PPPPC,0
AIA_PPPGDP,0
AIA_PCPIE,0
AIA_PCPI,0
AIA_NGDP_FY,0
AIA_NGDPPC,0
AIA_LUR,0
AIA_LP,0
AIA_GGX_NGDP,0
AIA_GGXWDN_NGDP,0
AIA_GGX,0
AIA_BCA,0
ATA_PPPPC,0
ATA_PPPGDP,0
ATA_PCPIE,0
ATA_PCPI,0
ATA_NGDP_FY,0
ATA_NGDPPC,0
ATA_LUR,0
ATA_LP,0
ATA_GGX_NGDP,0
ATA_GGXWDN_NGDP,0
ATA_GGX,0
ATA_BCA,0
ATG_PPPPC,27265.732
ATG_PPPGDP,2.569
ATG_PCPIE,151.91
ATG_PCPI,150.171
ATG_NGDP_FY,4.378
ATG_NGDPPC,46463.72
ATG_LUR,
ATG_LP,0.094
ATG_GGX_NGDP,19.609
ATG_GGXWDN_NGDP,81.133
ATG_GGX,0.858
ATG_BCA,-0.239
ARG_PPPPC,23738.701
ARG_PPPGDP,1065.527
ARG_PCPIE,583.7
ARG_PCPI,331.87
ARG_NGDP_FY,13307.093
ARG_NGDPPC,296466.604
ARG_LUR,8.609
ARG_LP,44.886
ARG_GGX_NGDP,40.058
ARG_GGXWDN_NGDP,
ARG_GGX,5330.548
ARG_BCA,-9.15
ARM_PPPPC,8971.931
ARM_PPPGDP,29.61
ARM_PCPIE,359.779
ARM_PCPI,350.463
ARM_NGDP_FY,6306.345
ARM_NGDPPC,1910871.283
ARM_LUR,17.0
ARM_LP,3.3
ARM_GGX_NGDP,27.643
ARM_GGXWDN_NGDP,
ARM_GGX,1743.274
ARM_BCA,-0.775
ABW_PPPPC,0
ABW_PPPGDP,0
ABW_PCPIE,0
ABW_PCPI,0
ABW_NGDP_FY,0
ABW_NGDPPC,0
ABW_LUR,0
ABW_LP,0
ABW_GGX_NGDP,0
ABW_GGXWDN_NGDP,0
ABW_GGX,0
ABW_BCA,0
AUS_PPPPC,57088.686
AUS_PPPGDP,1449.532
AUS_PCPIE,123.21
AUS_PCPI,122.067
AUS_NGDP_FY,2052.622
AUS_NGDPPC,80840.901
AUS_LUR,5.5
AUS_LP,25.391
AUS_GGX_NGDP,37.038
AUS_GGXWDN_NGDP,22.358
AUS_GGX,760.259
AUS_BCA,-50.455
AUT_PPPPC,54070.995
AUT_PPPGDP,472.139
AUT_PCPIE,134.124
AUT_PCPI,132.333
AUT_NGDP_FY,386.867
AUT_NGDPPC,44305.337
AUT_LUR,4.5
AUT_LP,8.732
AUT_GGX_NGDP,51.007
AUT_GGXWDN_NGDP,47.145
AUT_GGX,197.328
AUT_BCA,7.922
AZE_PPPPC,21852.22
AZE_PPPGDP,215.091
AZE_PCPIE,304.873
AZE_PCPI,356.0
AZE_NGDP_FY,88.687
AZE_NGDPPC,9010.209
AZE_LUR,6.048
AZE_LP,9.843
AZE_GGX_NGDP,29.794
AZE_GGXWDN_NGDP,
AZE_GGX,26.423
AZE_BCA,9.393
BHS_PPPPC,29199.4
BHS_PPPGDP,11.242
BHS_PCPIE,117.259
BHS_PCPI,118.178
BHS_NGDP_FY,10.658
BHS_NGDPPC,28095.693
BHS_LUR,11.852
BHS_LP,0.385
BHS_GGX_NGDP,20.981
BHS_GGXWDN_NGDP,59.583
BHS_GGX,2.236
BHS_BCA,-0.805
BHR_PPPPC,59747.317
BHR_PPPGDP,80.589
BHR_PCPIE,135.527
BHR_PCPI,134.614
BHR_NGDP_FY,15.1
BHR_NGDPPC,11194.821
BHR_LUR,4.264
BHR_LP,1.349
BHR_GGX_NGDP,30.729
BHR_GGXWDN_NGDP,72.767
BHR_GGX,4.64
BHR_BCA,-0.332
BGD_PPPPC,5225.268
BGD_PPPGDP,879.473
BGD_PCPIE,308.645
BGD_PCPI,285.955
BGD_NGDP_FY,29584.707
BGD_NGDPPC,186867.994
BGD_LUR,
BGD_LP,168.312
BGD_GGX_NGDP,15.814
BGD_GGXWDN_NGDP,
BGD_GGX,4678.407
BGD_BCA,-3.867
BRB_PPPPC,19477.884
BRB_PPPGDP,5.509
BRB_PCPIE,193.719
BRB_PCPI,197.602
BRB_NGDP_FY,10.829
BRB_NGDPPC,37763.165
BRB_LUR,8.875
BRB_LP,0.283
BRB_GGX_NGDP,41.977
BRB_GGXWDN_NGDP,
BRB_GGX,4.546
BRB_BCA,-0.295
BLR_PPPPC,20386.835
BLR_PPPGDP,187.304
BLR_PCPIE,1551.133
BLR_PCPI,1461.262
