"Total Revenue - Capital IQ [LTM] ($USDmm, Historical rate)","Total Equity - Capital IQ [LTM] ($USDmm, Historical rate)",Return on Capital - Capital IQ [LTM],Recurring Earnings / Total Assets - Capital IQ [LTM],Net Working Capital / Revenue - Capital IQ [LTM],Asset Turnover - Capital IQ [LTM],Net Working Capital/ Total Assets - Capital IQ [LTM],Payables / Receivables - Capital IQ [LTM],Management Rate of Return (%) - Capital IQ [LTM],Gross Margin % - Capital IQ [LTM],EBITDA Margin % - Capital IQ [LTM],FFO Interest Coverage - Capital IQ [LTM],EBITDA / Interest Exp. - Capital IQ [LTM],FFO to Total Debt - Capital IQ [LTM],Net Debt/EBITDA - Capital IQ [LTM],Total Debt to Capital - Capital IQ [LTM],Total Debt/Total Liabilities % - Capital IQ [LTM],Total Debt/Revenue - Capital IQ [LTM],(FFO + Cash) to Short Term Debt - Capital IQ [LTM],FFO to Gross Profit - Capital IQ [LTM],Basic Defense Interval - Capital IQ [LTM] (Days),Current Ratio - Capital IQ [LTM],Quick Ratio - Capital IQ [LTM],CreditModel - EBIT Interest Coverage [Latest Quarter] (Model Version 2.6),CreditModel - Free Operating Cash Flow / Debt [Latest Quarter] (Model Version 2.6),CreditModel - Gearing Ratio [Latest Quarter] (Model Version 2.6),"Total Equity - Capital IQ [Latest Annual] ($USDmm, Historical rate)",Debt/Debt And Equity (%) - Credit Stats Direct [LTM],FFO/Debt (%) - Credit Stats Direct [LTM],Common Dividend Payout Ratio (%) - Credit Stats Direct [Latest Annual],"As-Reported Total Revenue - Capital IQ [LTM] ($USD, Historical rate)",# of Analyst Low (4) Industry Recommendations - Capital IQ [Latest],CUSTOMGeography Encoding,CUSTOMBusiness Encoding,CUSTOM Industry Outlook Weighted Average,CUSTOMPPPPC,CUSTOMPPPGDP,CUSTOMPCPIE,CUSTOMPCPI,CUSTOMNGDP_FY,CUSTOMNGDPPC,CUSTOMLUR,CUSTOMLP,CUSTOMGGX_NGDP,CUSTOMGGX,CUSTOMBCA
194799,161929,13,10.3,0.014,0.745,0.01,1.03,16.7,39.3,21.7,75.9,89.9,1.37,0.423,12.6,26.1,0.134,21.2,0.465,57.9,1.28,0.868,75 ,1.3 ,0.1 ,161929,17,119.9,53.3,200949,0,0.9999278640456615,1.9423246539693921,6,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761699,0.7661969391951858,0.002206628196193779,-1.223471234167018
338293,212538,16.6,12.6,0.016,0.899,0.015,1.03,20.8,32.8,20,65.2,83.9,1.16,0.227,16.8,29.1,0.141,15.2,0.499,82.6,1.48,1.07,80.2 ,1.1 ,0.2 ,212538,14.1,162.8,43,344582,0,2.4678639992737623,2.276902237164036,4,0.8469889625564109,0.49946885152923287,5.766810229364856e-12,5.8239965898143e-12,0.0007018276725662683,0.0008953649956138589,0.31747611364233425,0.14982453969117437,0.8049151485221784,0.001397998000452232,-0.7044706595722047
20426,6896,15,11.6,-0.023,0.622,-0.015,0.649,22.6,38.3,28.9,9.44,12.2,0.282,2.68,65.8,64.6,0.82,12.9,0.603,68.1,0.9,0.788,7.9 ,0.1 ,2.1 ,6896,72.7,26.5,49.3,0,0,0.253641023054205,1.742019022167976,2,0.8706951193777487,0.7675642898299315,7.194246192011758e-12,7.256047127485052e-12,0.0010799929408110717,0.0009222769618893341,0.29149197865442156,0.22703663978035887,0.7691602679155984,0.002129009418961908,-1.1774926278433704
23273,28090,24.9,21.8,0.04,0.531,0.021,0.897,27.9,62.3,56.7,76.6,96.3,2.36,0,12.5,30.4,0.206,46.3,0.783,182.6,2.44,1.96,68.4 ,1.9 ,0.1 ,28090,4.34,985.9,45.2,24186,0,0.08079313589591118,-0.0,2,0.8745394193472822,0.7886977132569093,7.350373468781082e-12,7.41764928921328e-12,0.0011087876463873657,0.0009380681475029436,0.28693512968128676,0.23305329842227032,0.7661607896616662,0.002184801041633217,-1.2112054342347702
57861,49279,21.1,17.1,-0.018,0.603,-0.011,0.929,23.6,48.7,42.8,25.6,32.1,1.02,0.521,25.3,42.1,0.339,21,0.708,92.7,1.43,1.21,27.9 ,0.8 ,0.3 ,49279,28.7,103.7,43.1,58574,0,1.2012595367290877,1.6488864969834052,2,0.8390688904423841,0.6860634224726755,6.771373346769705e-12,6.8369771829835416e-12,0.0010384861468581384,0.001291581749771743,0.2778694758102832,0.2157306566708241,0.7984159077238603,0.002018225231150016,-1.002242968616651
14427,12217,23.9,20,-0.009,0.589,-0.005,0.49,25.2,54.7,51.9,17.7,20.3,1.01,0.752,31.6,52.8,0.449,14.3,0.83,82.5,1.07,0.823,16.9 ,0.2 ,0.6 ,12217,35.8,107.4,57.2,15258,0,-0.0,-0.0,2,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
19374,23171,19.3,17.5,-0.027,0.529,-0.014,1.54,19.4,51.4,48,55.2,64.1,1.47,0.549,17.3,42.9,0.297,39.4,0.848,49.7,0.876,0.662,58.1 ,0.9 ,0.2 ,23171,19.9,151.9,67.4,19362,0,-0.0,-0.0,2,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
15334,31729,6.46,5.98,-0.035,0.216,-0.008,0.861,11.5,49.5,42,3.61,3.69,0.199,4.91,49.7,83.2,2.13,1.56,0.855,44.8,0.352,0.231,2.5 ,0.1 ,0.9 ,31729,50.6,17.8,112.1,15334,0,0.0454146923337941,1.5728401808751689,4,0.8783686687221518,0.7966453392989885,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
39529.6,21741.1,12.6,10,0.034,0.968,0.032,0.392,13.1,21.1,19,14.7,20.3,0.743,0.756,23.2,39.5,0.191,20.1,0.672,41.1,1.56,0.875,9.4 ,0.4 ,0.4 ,21741.1,28.8,63.3,24.3,39529.6,0,1.13033850110222,1.7448147392254905,2,0.7725724066223332,0.4517692215888657,5.580904382744463e-12,5.638094467023098e-12,0.0007276911351916141,0.0009158413439604128,0.3351831562704018,0.1517809588259679,0.7985184535792367,0.0014025460171246953,-0.622215018714523
10295,9602,14.8,12.3,-0.082,0.429,-0.035,0.341,16.9,73.5,49.3,8.25,11.8,0.411,1.4,48.5,66.6,0.932,8.27,0.521,128.6,1.05,0.923,6.2 ,0.1 ,1 ,9602,48.8,59.3,38.9,10645,0,1.2924939388061638,0.5118645037875604,2,0.587659699089574,0.465594981980325,5.83694536876724e-12,5.880338324293373e-12,0.0006727253722069751,0.00589153534419892,0.18238115021663007,0.13880993335482797,0.6812131523692014,0.0013134436392721097,-0.7085070602913353
